-------------------------------------------------------------------
Benchmark                            Time           CPU Iterations
-------------------------------------------------------------------
BM_slow_crc32/1024                8129 ns       8123 ns      77929
BM_slow_crc32/1024                7690 ns       7683 ns      77929
BM_slow_crc32/1024_mean           7777 ns       7772 ns      77929
BM_slow_crc32/1024_median         7772 ns       7768 ns      77929
BM_slow_crc32/1024_stddev          177 ns        176 ns      77929
BM_slow_crc32/2048               47691 ns      47668 ns      12812
BM_slow_crc32/2048               50222 ns      50195 ns      12812
BM_slow_crc32/2048               48011 ns      47986 ns      12812
BM_slow_crc32/2048               47843 ns      47816 ns      12812
BM_slow_crc32/2048               48116 ns      48089 ns      12812
BM_slow_crc32/2048               48475 ns      48445 ns      12812
BM_slow_crc32/2048               48116 ns      48088 ns      12812
BM_slow_crc32/2048               47543 ns      47507 ns      12812
BM_slow_crc32/2048               46791 ns      46763 ns      12812
BM_slow_crc32/2048               47088 ns      47050 ns      12812
BM_slow_crc32/2048_mean          47990 ns      47961 ns      12812
BM_slow_crc32/2048_median        47927 ns      47901 ns      12812
BM_slow_crc32/2048_stddev          932 ns        933 ns      12812
BM_slow_crc32/4096              121982 ns     121905 ns       5745
BM_slow_crc32/4096              126910 ns     126841 ns       5745
BM_slow_crc32/4096              126205 ns     126134 ns       5745
BM_slow_crc32/4096              120855 ns     120775 ns       5745
BM_slow_crc32/4096              120432 ns     120362 ns       5745
BM_slow_crc32/4096              121377 ns     121307 ns       5745
BM_slow_crc32/4096              123547 ns     123460 ns       5745
BM_slow_crc32/4096              121187 ns     121108 ns       5745
BM_slow_crc32/4096              121285 ns     121217 ns       5745
BM_slow_crc32/4096              122017 ns     121954 ns       5745
BM_slow_crc32/4096_mean         122580 ns     122506 ns       5745
BM_slow_crc32/4096_median       121679 ns     121606 ns       5745
BM_slow_crc32/4096_stddev         2265 ns       2265 ns       5745
BM_slow_crc32/8192              268746 ns     268596 ns       2558
BM_slow_crc32/8192              277478 ns     277292 ns       2558
BM_slow_crc32/8192              272291 ns     272079 ns       2558
BM_slow_crc32/8192              275439 ns     275243 ns       2558
BM_slow_crc32/8192              275707 ns     275568 ns       2558
BM_slow_crc32/8192              272354 ns     272232 ns       2558
BM_slow_crc32/8192              272566 ns     272414 ns       2558
BM_slow_crc32/8192              274542 ns     274388 ns       2558
BM_slow_crc32/8192              269265 ns     269129 ns       2558
BM_slow_crc32/8192              270510 ns     270356 ns       2558
BM_slow_crc32/8192_mean         272890 ns     272730 ns       2558
BM_slow_crc32/8192_median       272460 ns     272323 ns       2558
BM_slow_crc32/8192_stddev         2886 ns       2875 ns       2558
BM_slow_crc32/16384             571216 ns     570855 ns       1240
BM_slow_crc32/16384             588232 ns     587828 ns       1240
BM_slow_crc32/16384             572621 ns     572162 ns       1240
BM_slow_crc32/16384             581259 ns     580881 ns       1240
BM_slow_crc32/16384             571870 ns     571560 ns       1240
BM_slow_crc32/16384             568883 ns     568565 ns       1240
BM_slow_crc32/16384             564998 ns     564685 ns       1240
BM_slow_crc32/16384             569445 ns     568988 ns       1240
BM_slow_crc32/16384             569396 ns     569110 ns       1240
BM_slow_crc32/16384             564100 ns     563755 ns       1240
BM_slow_crc32/16384_mean        572202 ns     571839 ns       1240
BM_slow_crc32/16384_median      570331 ns     569982 ns       1240
BM_slow_crc32/16384_stddev        7335 ns       7313 ns       1240
BM_slow_crc32/32768            1163013 ns    1162221 ns        612
BM_slow_crc32/32768            1197971 ns    1197309 ns        612
BM_slow_crc32/32768            1148291 ns    1147692 ns        612
BM_slow_crc32/32768            1139145 ns    1138530 ns        612
BM_slow_crc32/32768            1147228 ns    1146651 ns        612
BM_slow_crc32/32768            1139510 ns    1138928 ns        612
BM_slow_crc32/32768            1140757 ns    1140102 ns        612
